skill_id,skill_title,skill_source,duplicated,dup_parent,dup_parent_id,time_added
033716f6602274136ace288291d45ffe98ae70c5f3b92e1de09d5ca8f3d4e8f1,operational technology security design,SFw TSC,0,NA,NA,3/8/2022 14:43
0358a727447835c29bb0d944bb6fc8459cecbde550f8cd89a6823014b8205cc3,social service (early intervention) programme development and implementation,SFw TSC,0,NA,NA,3/8/2022 14:43
036a6b7f63584af698bd831e75a631c130b6b24ce30b6aeed23c026634257223,PrestoDB,Apps and Tools,0,NA,NA,3/8/2022 14:43
037749a05083a33b5c3194fc46a9ab782664372158f86ca43d5d091645d9393f,Apache Subversion (SVN),Apps and Tools,0,NA,NA,3/8/2022 14:43
037817874f25be11f9713804a7f7c027079bc5cd2776377a7f0111c2a17cf33f,tree climbing and aerial rescues,SFw TSC,0,NA,NA,3/8/2022 14:43
0378e8062b2e8372fef803b9e11a05a7691ce6c90ead743d43608ed533b20c9b,mechanical rotating equipment engineering management,SFw TSC,0,NA,NA,3/8/2022 14:43
037c09c9fae5d1551fd6384010e321603ff430ce792f691adf745613a3f91002,Couchbase,Apps and Tools,0,NA,NA,3/8/2022 14:43
039137323cb2f41ab349d6db5b76d673a6c77ad57b4eeee2fed0a9e806431b6b,product design and development,SFw TSC,0,NA,NA,3/8/2022 14:43
039abb33833d2e6b7f40ccab27137c53240d3c9c3ca05766b08929cb6e15ddf2,Autodesk Revit,Apps and Tools,0,NA,NA,3/8/2022 14:43
039c97675360072b8fb5c88a83db0d04e31315e71c21eb278686946fea57ee2b,navigation and position determination,SFw TSC,0,NA,NA,3/8/2022 14:43
03be4f85fe43317931241ffcd84b1c529e197c2cc6729920a445da239d4e21ed,Apache Flink,Apps and Tools,0,NA,NA,3/8/2022 14:43
03e8d9a4e0aa86da5ebcf87a05d1b02d65de133462161a285a55b7c8dc0ca994,Microsoft Azure Proactive,Apps and Tools,0,NA,NA,3/8/2022 14:43
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,programme management,SFw TSC,0,NA,NA,3/8/2022 14:43
03f824db9a1f601e1e4d5c827e11b7c1847b70937bf2facf6c78cbadfe9be654,soil and media assessment and remediation,SFw TSC,0,NA,NA,3/8/2022 14:43
041cf0b653af81b057c04da90964e14ac595d6f606860c9e21da827d189c13df,low voltage switchboard maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,sales management,SFw TSC,0,NA,NA,3/8/2022 14:43
042e9398f2cc89025595d077503121a4a5a41d153d6863caa4c7332c8f1029f6,DigitalOcean,Apps and Tools,0,NA,NA,3/8/2022 14:43
0434f6d54ab0f0167e2b35cdad05119ebd79d9a949dc9162a5cbcaa9259e0d7e,health promotion,SFw TSC,0,NA,NA,3/8/2022 14:43
04373c7d9b5a8df43d3e0d188ff43152ab2b3b9a6e9c9a38304af3ccbc9940fd,nacelle mechanical structures maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
044702fd0ff4efe9693b1037a0b2e1d312a218d1e036cfa278367769e5431657,airfield specialised systems maintenance and design,SFw TSC,0,NA,NA,3/8/2022 14:43
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86 Instruction Set,Apps and Tools,0,NA,NA,3/8/2022 14:43
0498de97d66872ea9ee31eaac8d4fac0f19643d8d5ee77326144576cc6d1461d,ship seaworthiness and pollution prevention,SFw TSC,0,NA,NA,3/8/2022 14:43
04ca1b233344a66c112bbcc2d35c022d5b0bd17557888b54c41043d501cb164b,aircraft fuel and engine systems maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
04d32e6640bdfae0ce8e50cdcc9b03f5b033cb23116e0dda3f13f176601d4afd,chromatography equipment operation and control,SFw TSC,0,NA,NA,3/8/2022 14:43
052507969da97c9fec8882a5f4e1077937d2ff34eaceb30f437ca6a9b7c276e5,collaborative practices across disciplines and sectors,SFw TSC,1,collaborative practices with stakeholders across disciplines,38af4dcc796a2e19dcf26ee2ac1779280ddaf5376c02f3380c755f90ba63828a,3/8/2022 14:43
0549e836108aab45fb1de4fa6063a440ab464a61bf5ded5cc7f02706bc094ed4,Wrike,Apps and Tools,0,NA,NA,3/8/2022 14:43
05bf8d37cbee0a171a3c827c7369a8f9ed0354750c1884211342b1aa170f2346,AWSodepipeline,Apps and Tools,0,NA,NA,3/8/2022 14:43
05da2a2739744402876e12c5efe89887f595b261ea061faf16863457207b05ab,airport service quality management,SFw TSC,0,NA,NA,3/8/2022 14:43
05e1e2cc3ed57079d4df5f805ca764af979a903376b4d682bb43681d6ccd5b28,Corel Draw,Apps and Tools,0,NA,NA,3/8/2022 14:43
05ebd984c8420f393af8da987fe149c28a5d3956c74dc364a0e9a96b3138d5ff,sales closure,SFw TSC,0,NA,NA,3/8/2022 14:43
05f3954ded5f6caab92698b2094689b54274a72512d3d535a28a45ed0b9f5785,survival craft and rescue boats,SFw TSC,0,NA,NA,3/8/2022 14:43
05f3bcaa7191c04093eb760c2cb57226f3297078df28b4ef21766a6f44e95860,pipeline damage prevention management,SFw TSC,0,NA,NA,3/8/2022 14:43
0623233d3df75cb72e953aad36c629872ab734c6d42746ce51599941a8c93135,business continuity management,SFw TSC,0,NA,NA,3/8/2022 14:43
06364d648ab073c33c89f7550646f6df663da11fed7fa536b85eb5399cba3ea0,Glassfish,Apps and Tools,0,NA,NA,3/8/2022 14:43
063de0773639dd9f2b3047465a825bea1c752c53177f51acd573cf1e17accdbc,SolidWorks,Apps and Tools,0,NA,NA,3/8/2022 14:43
06486af666a8ae3bcf5045b7f9b691c34f74c5b79d0651200e2ca6e74475b985,content development and strategy,SFw TSC,0,NA,NA,3/8/2022 14:43
0649f6e84a5218a979cb06563ee9aaa21d734ee1627a462b8134122733202b9d,security assessment and testing,SFw TSC,0,NA,NA,3/8/2022 14:43
0662bf17ad214c77c6d708321a6bc5bce0b1ea1d98831cda3210cb22c238157e,Weka (Waikato Environment for Knowledge Analysis),Apps and Tools,0,NA,NA,3/8/2022 14:43
06794711da76a71b0a4f8a6b68ee7334c6cf879ee56178806be1cf9176af77b9,track access management,SFw TSC,0,NA,NA,3/8/2022 14:43
06a1014664f28ba0cf2f3efdca3a3b70831d4331684977817cb8337f33d29780,contract administration and management,SFw TSC,0,NA,NA,3/8/2022 14:43
06a550b6a974930415548d9b65ecda7d0578bca2e0d3b938b5128aa66722c748,valuation of different classes of interest,SFw TSC,0,NA,NA,3/8/2022 14:43
06af44f8be51bb27146bf6b66867a9adf7337344ddad8a8f7d5db943ef155ed1,2d animation,SFw TSC,0,NA,NA,3/8/2022 14:43
06b4384500bf91498fad7a9dd8fb9df6971fea89611881967dcc8e412f7ee7d8,content rating and compliance,SFw TSC,0,NA,NA,3/8/2022 14:43
06bb68896f96ea228cc3ac9ba085db501c8745049f8f34c33f9e1db03b41963b,civil structure maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
06c5637d488b3bbcc1743ae35ed7fdab0d63ca9f0b545a758a4077c43753535b,business planning management,SFw TSC,1,business planning,b749b5ef764db258b2ba75b29d384bf6946e69005f7d0c0ad8fa86ae6082eed2,3/8/2022 14:43
06cfa72e10bfd7638b66da762874a2e0475f69f180acb5b828c85cb97e79c73a,customer service delivery,SFw TSC,0,NA,NA,3/8/2022 14:43
06f329a2ef6514aa88b1f69ea4c7d9c8fcefca225c3e0c503c9cf60a5c0b25a7,rail regulatory compliance,SFw TSC,0,NA,NA,3/8/2022 14:43
072156543b9a701105c513251489a689661f5b124699871706b25380f1abc82c,pneumatic systems management,SFw TSC,0,NA,NA,3/8/2022 14:43
072254a3685a7c4e432bae02f0a96d7c8df1c63a0d1c57d828ad381af5b46b94,marketing management,SFw TSC,0,NA,NA,3/8/2022 14:43
076e6b0f7ad434a974d7630e59d9ac5821f1d0b896aaecb99954d22642bfdc53,AWS Fargate,Apps and Tools,0,NA,NA,3/8/2022 14:43
0797c55b07837ea9c925d3f2d25373af8e926d7b7bece344b4a7cfeeb881f6e2,aircraft electrical equipment and accessories maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
07b3a3835ae90c864fba55d09950422331612530ffd6f43a562b494708635f27,furniture and furnishing maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
07b9acbc2e9f5d5288d552d6c24cd322a33fab8828e5669206bed6b4835078b3,sales trends and opportunities analysis,SFw TSC,0,NA,NA,3/8/2022 14:43
07bc6985fdaa18fb51a728e59f53f15d9866ab8d5c9403bd6696cb831d252936,Robotium,Apps and Tools,0,NA,NA,3/8/2022 14:43
07cffe92591d3637ab9c6ada32c0dc97930f1902c0c1b364226d46658d46859d,pest control site assessment and analysis,SFw TSC,0,NA,NA,3/8/2022 14:43
07e10b4c76f3b233b3a290a668bdb55b8981ba069d24406d2702bac4b805fe8a,climate-mitigating features in built environment,SFw TSC,0,NA,NA,19/8/2022 2:31
080baa17c90b5e97f32d94164cb0ec3f1729753654e21295166499bb454b88c8,Redux,Apps and Tools,0,NA,NA,3/8/2022 14:43
080cb6a91de274d9934ad606d8f56266df918d95af0985059c227c9e850cdb7f,media storage record maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
080e78ab281bb7ee48cb4f2c1ccc1ef1dd2f469327e76d9b5f3fb70eb7764395,product advisory,SFw TSC,0,NA,NA,3/8/2022 14:43
08129f11c96ffd1e75b7ac9f990892f9fea39e8a460a80c2fd78bc1562ea29c9,LUA (Programming Language),Apps and Tools,0,NA,NA,3/8/2022 14:43
082b2b5900a03a0000b748729aa99b7d754556c9f9a436532df5ef3753ca41be,capital raising,SFw TSC,0,NA,NA,3/8/2022 14:43
08346e1b7369e0d1900bb8c062ee81a6704d8823cb7d44abe6a5f591e5d3a46a,process modelling,SFw TSC,0,NA,NA,3/8/2022 14:43
0844d2306a34e3ba80058c306a87ce5fd6af8bd2cbd1dba87f92018620f00326,electric vehicle and hybrid electric vehicle maintenance management,SFw TSC,0,NA,NA,29/11/2022 15:40
085b3e7e8220acf580d25fce924dbd46cc01ba6a2a093f2f9f83a5d60d9c53f5,cargo load planning,SFw TSC,0,NA,NA,3/8/2022 14:43
0860f2616ab58a9c6152f5109d2f37cc9f210b7c80850b80348a45bc487fbee0,Fluentd,Apps and Tools,0,NA,NA,3/8/2022 14:43
087aaf294124eae8149c80659db32e9b3af7417001b015be392f7f1fa3fe8018,gas network planning,SFw TSC,0,NA,NA,3/8/2022 14:43
0880edd38bffc58804e9df3e26d7e05c88a564ffd559e16127ecd49629aadc61,aircraft manual handling,SFw TSC,0,NA,NA,3/8/2022 14:43
089950ae52dee9bedce427d642a2876d74d8e0e9bd8c949dbecb33948303dfad,Postcss,Apps and Tools,0,NA,NA,3/8/2022 14:43
08d763717f4534223df30c23fae77535834d6ae78aec8d1ff103c84b039e0a18,behaviour change facilitation,SFw TSC,0,NA,NA,3/8/2022 14:43
08d87b3309bacb587bf9e6a9eaac2f85659bc16a4d78a58cd3ddd0f698fe7ac4,Apache Parquet,Apps and Tools,0,NA,NA,3/8/2022 14:43
0908dce0bd357591a862bc1f2e42f788c1c8b5d6db9c1c0862b617dc3694fef6,derivatives trading management,SFw TSC,0,NA,NA,3/8/2022 14:43
09180c25d9564bb60bc3f869e7718cfd605be538f1b1990d0204d25ae8074498,SPARQL,Apps and Tools,0,NA,NA,3/8/2022 14:43
092063462716a52fe33e16c8e35e77e5cf0ab2c0d46004369d9964aabc06c830,intellectual property intelligence,SFw TSC,0,NA,NA,3/8/2022 14:43
092dbc2f73ab7a40685b529c39ad772e68c47fd9798e37409121b65854de9ed1,programme design,SFw TSC,1,learning programme design,1eac32102b28d1ef2cae670de6552fd1ac63dfa6624eae3d8ccfe923f143ade0,3/8/2022 14:43
0935a8b79eba2e9696e9dd16411de7b1a0cd9820036f34b8f173f536f7545d35,Apple Books (Software),Apps and Tools,0,NA,NA,3/8/2022 14:43
09446f2fd7e5e70691f3762cae759c115ecac042d09ea5db590148389ab07c8c,firearm handling,SFw TSC,0,NA,NA,3/8/2022 14:43
0963e068485559a5d2a71eb111e6015220c7d58624155a05ea025289c37de795,inventory control,SFw TSC,1,inventory management,a61e1abf8ea12b962aac10ddfdc060c74635ec8fe198b682ff7b5243e5fa1e89,3/8/2022 14:43
09720b4e05a1cf78ae6e897652566b044ee65ece9941f83c4d1e629e7fdb0be4,mental health and well-being support,SFw TSC,0,NA,NA,19/8/2022 2:31
098e57c4564d5c625e63ee548b240a8695b3de30ab7aebe44e98367d657d5004,vMotion,Apps and Tools,0,NA,NA,3/8/2022 14:43
09a6a0afc7bdfef4bbf19e02927812d95e187d8cfb5348121dffe751fbabd491,content ingest operations,SFw TSC,0,NA,NA,3/8/2022 14:43
09f25c69a7726d83d05ce2033574f9ca32fdfa61f76967a51a02f247c093c9b2,Jupyter Notebook,Apps and Tools,0,NA,NA,3/8/2022 14:43
09f70b3b4d55a9d70574f055abb60dd42f7a972f8e22e8694625e63403171d51,ETAP Software,Apps and Tools,0,NA,NA,3/8/2022 14:43
0a0fe1dc503d230a3e687f5bb74b750f068934978b819c498469d42ed181686b,business proposal writing,SFw TSC,0,NA,NA,3/8/2022 14:43
0a16b9b0b8c012b0d4354b70ff13fd77a6248116e1e9aa4ef7a9495b61fbf9d4,applications support and enhancement,SFw TSC,0,NA,NA,3/8/2022 14:43
0a18ff1d348e70cb4f6f4bfe554cf750e34fc722d83aa21d9944d9972611635d,Adobe Dreamweaver,Apps and Tools,0,NA,NA,3/8/2022 14:43
0a4a70def39abd19560c8ac3cbb184a52662e89c5c352686d89b99b555bdca16,Veeva,Apps and Tools,0,NA,NA,3/8/2022 14:43
0a4c6ba1400aad9894a406b63524143937fb25cf4737c243bd39e6ddf4a70ae4,Vertica,Apps and Tools,0,NA,NA,3/8/2022 14:43
0a7bc162474954789058e6f6cfb652d816b6134b102ca58dd3fbdbe0bf914228,audit and compliance,SFw TSC,0,NA,NA,3/8/2022 14:43
0a80bdc5431960ebe53a174129414f14d1a6559258ccbe5ad228c2b75af7713e,rolling stock on-board control and communication systems maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
0abbfe68768ccfe050a9cc3f4d34e87e55dd86061296e884b11ea417ff5bdc4b,Wavemaker Rad Platform,Apps and Tools,0,NA,NA,3/8/2022 14:43
